Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",26971,123,0.46 [0.32-0.66],2.5200297789887e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27732,210,0.69 [0.52-0.91],0.0099749955027685
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27448,1364,0.70 [0.63-0.79],4.2279926561575336e-10
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Candidiasis,27760,481,0.74 [0.61-0.89],0.0013579186761389
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26893,3560,0.71 [0.67-0.77],2.664115195749876e-21
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27128,2938,0.66 [0.62-0.72],6.634081640385753e-26
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27462,1399,0.66 [0.59-0.73],8.595285218856766e-14
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,27650,94,0.56 [0.37-0.84],0.0057021753446478
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25868,834,0.59 [0.51-0.68],9.301679620719085e-13
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25019,977,0.48 [0.42-0.54],8.776879153393818e-29
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,25039,265,0.58 [0.45-0.75],3.498715144715657e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19475,1706,0.60 [0.54-0.66],7.748649117476499e-24
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24802,382,0.44 [0.36-0.54],5.898244560332388e-15
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27696,1633,0.67 [0.61-0.74],1.3784367592037748e-14
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Mycoses,27827,548,0.69 [0.58-0.82],3.2295232082994114e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27053,969,0.69 [0.60-0.78],2.309105478850445e-08
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27769,921,0.62 [0.55-0.71],5.006573891169042e-12
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26273,210,0.67 [0.50-0.89],0.0053085477361623
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,27888,47,0.70 [0.38-1.26],0.2346014775718551
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27654,806,0.64 [0.55-0.73],5.849689351937553e-10
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27640,84,0.86 [0.55-1.36],0.5187972439548898
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27789,194,0.80 [0.59-1.08],0.1375927971403547
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27771,176,0.79 [0.58-1.09],0.1522534622811111
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26437,353,0.54 [0.44-0.67],2.474480303194376e-08
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,26355,271,0.63 [0.49-0.81],0.0002726424977453
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,26195,132,0.53 [0.37-0.75],0.0003143364535572
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,27864,37,0.76 [0.39-1.51],0.4383469830318215
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27811,163,0.51 [0.37-0.69],2.4414928570973203e-05
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Viral warts,27697,49,0.60 [0.33-1.07],0.0841210462490487
NELL1,Protein kinase C-binding protein NELL1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],27727,79,0.46 [0.30-0.73],0.0008124072414485
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm,27615,243,0.92 [0.71-1.21],0.5567615904702397
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,27783,71,0.77 [0.47-1.27],0.3032605356262248
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,27780,69,1.18 [0.72-1.94],0.5190720433130271
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",27593,1249,0.98 [0.87-1.10],0.7381976968371073
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of meninges,27859,83,1.02 [0.64-1.60],0.9470136969472048
NELL1,Protein kinase C-binding protein NELL1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,27820,67,0.68 [0.41-1.13],0.1378951773032991
