Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,49241,6939,1.05 [1.03-1.08],5.976099328456437e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter I Certain infectious and parasitic diseases,Other viral diseases,50875,313,1.23 [1.11-1.36],9.024328374878328e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,49480,5735,1.06 [1.04-1.09],2.1047767278798645e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,50086,3005,1.09 [1.05-1.12],1.5951167860644032e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,50084,3003,1.08 [1.05-1.12],1.9008376424577648e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,50393,2361,1.11 [1.07-1.16],2.0116562962243123e-08
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,39428,551,1.17 [1.09-1.27],5.242727601064615e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,45858,6981,1.05 [1.03-1.07],1.5654810649512042e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,39969,1092,1.13 [1.07-1.19],2.263755895516581e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,48712,9835,1.05 [1.03-1.07],3.512530731207948e-07
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial","Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,49776,3638,1.08 [1.05-1.12],1.625361117628243e-07
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter IX Diseases of the circulatory system,Hypertension,46363,12829,1.04 [1.02-1.06],2.11685609013854e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter IX Diseases of the circulatory system,"Hypertension, essential",46397,12863,1.04 [1.02-1.06],3.291871848374668e-06
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter X Diseases of the respiratory system,Bronchiectasis,44225,692,1.16 [1.08-1.25],2.274263729936343e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter X Diseases of the respiratory system,Diseases of the respiratory system,46963,10407,1.05 [1.03-1.07],6.197014053248884e-07
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter X Diseases of the respiratory system,Emphysema,44154,621,1.16 [1.08-1.25],6.478174061376633e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,44453,496,1.18 [1.09-1.28],5.658674994737289e-05
CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Chapter XIV Diseases of the genitourinary system,Acute renal failure,48975,3117,1.07 [1.04-1.11],2.624937065339716e-05
