Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49770,2718,1.33 [1.20-1.49],2.1788876852576418e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48799,6862,1.25 [1.17-1.34],1.463674228535286e-10
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),49002,6268,1.34 [1.25-1.44],1.0120509984289004e-15
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,46309,1888,1.51 [1.32-1.72],6.60246424842259e-10
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44749,2154,1.58 [1.40-1.78],2.171989569128959e-13
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,44502,496,1.79 [1.39-2.30],7.212562404444057e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35357,3873,1.26 [1.15-1.38],9.570991565822994e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48880,1828,1.40 [1.22-1.60],8.289841826157722e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,50345,2087,1.50 [1.32-1.70],1.7805703744092035e-10
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter I Certain infectious and parasitic diseases,Other septicaemia,50081,1823,1.48 [1.30-1.69],7.0045535655265305e-09
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,49023,5664,1.29 [1.19-1.39],6.412745780039528e-11
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,49632,2965,1.29 [1.16-1.43],2.5669654727149367e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,49630,2963,1.29 [1.16-1.43],2.289152534975938e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,50209,535,2.59 [2.04-3.30],8.612133377132822e-15
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",50115,441,2.90 [2.23-3.78],2.579799955610795e-15
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,47177,247,3.09 [2.14-4.45],1.599126766966541e-09
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of iron metabolism,38642,113,5.02 [3.01-8.38],6.382293190466309e-10
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,39035,506,1.92 [1.50-2.47],2.786446364132077e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,39710,1181,1.81 [1.53-2.13],2.3131228066126084e-12
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",41631,3102,1.44 [1.30-1.60],1.9655329955769054e-12
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,50552,440,2.16 [1.65-2.81],1.3129423723108089e-08
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,46014,300,2.46 [1.78-3.41],5.4217065538680283e-08
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,49323,3609,1.33 [1.21-1.47],2.441118139033232e-09
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,40035,1506,1.47 [1.27-1.70],3.18249624560639e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,31384,3732,1.37 [1.25-1.51],3.505472901987252e-11
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,"Heart failure, strict",50173,2143,1.44 [1.27-1.62],5.5466988402590234e-09
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,"Hypertension, portal",50246,148,16.04 [10.70-24.04],3.1573885199448587e-41
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",33546,343,2.06 [1.52-2.79],3.1515722704047e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,33475,272,2.35 [1.67-3.30],9.09945409082839e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Left bundle-branch block,42499,707,1.62 [1.31-2.01],8.341650577105995e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Oesophageal varices,47462,102,17.83 [11.02-28.84],8.160892370446401e-32
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,48107,107,9.62 [5.93-15.62],5.1656148979203536e-20
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,49356,674,1.69 [1.36-2.09],2.383482624227057e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,28310,658,1.71 [1.37-2.14],2.4501609614372435e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,50439,1284,1.54 [1.31-1.80],1.119333957953014e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter IX Diseases of the circulatory system,Secondary right heart disease,49345,663,1.68 [1.35-2.09],3.6509203713768106e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",50339,704,1.87 [1.51-2.31],7.410150640119795e-09
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",50248,833,1.68 [1.38-2.05],1.7577329753091097e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,50232,460,2.07 [1.60-2.69],4.457938962388616e-08
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter X Diseases of the respiratory system,Influenza and pneumonia,50145,3744,1.24 [1.13-1.36],6.351914067850167e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter X Diseases of the respiratory system,Pleural effusion,48168,1952,1.40 [1.23-1.59],2.815996116547002e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,Alcoholic liver disease,48828,141,9.33 [6.09-14.29],1.0659664039591183e-24
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",50299,201,10.95 [7.67-15.65],1.6155733740611637e-39
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,Diseases of liver,50337,1650,1.72 [1.50-1.98],2.9974341098060445e-14
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,48931,244,8.70 [6.24-12.13],2.8423241205336864e-37
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",48809,122,3.70 [2.26-6.07],2.0536962341777658e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XI Diseases of the digestive system,Other diseases of liver,50039,1352,1.72 [1.47-2.01],6.1935747907297576e-12
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XII Diseases of the skin and subcutaneous tissue,Cellulitis,49329,1354,1.44 [1.24-1.68],3.111278452917075e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,49805,1830,1.42 [1.24-1.62],2.749600303385736e-07
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XII Diseases of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",46714,458,1.87 [1.44-2.43],2.537391545397463e-06
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XIV Diseases of the genitourinary system,Acute renal failure,48517,3086,1.58 [1.43-1.75],1.2463966169439324e-18
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,48438,3007,1.48 [1.34-1.65],7.483273235415218e-14
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,50084,5243,1.43 [1.33-1.55],2.242285881737812e-19
