Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24656,867,3.03 [2.52-3.64],3.2564607588499496e-32
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24665,140,8.72 [6.27-12.12],7.926960875591709e-38
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,26197,148,2.09 [1.35-3.24],0.0009662267350979
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19584,486,6.77 [5.41-8.48],1.5647453335714765e-62
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25437,74,8.94 [6.09-13.13],4.5943642896002687e-29
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24900,43,8.50 [5.22-13.86],8.299717191807478e-18
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,26629,104,6.06 [4.30-8.55],8.845920976002287e-25
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,26589,64,8.22 [5.62-12.03],1.8604300513014588e-27
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Mycoses,26973,43,3.30 [1.82-5.97],7.971896121429064e-05
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26349,376,3.10 [2.44-3.94],2.6689673457913886e-20
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26111,138,4.00 [2.84-5.62],1.7436918737104284e-15
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26218,245,2.89 [2.16-3.86],6.6309104444874e-13
EPHA2,Ephrin type-A receptor 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13273,286,2.21 [1.60-3.06],1.7830730709724987e-06
EPHA2,Ephrin type-A receptor 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",23627,46,4.71 [2.73-8.15],2.8763375263701134e-08
EPHA2,Ephrin type-A receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25118,787,3.75 [3.12-4.50],2.6254081883510904e-45
EPHA2,Ephrin type-A receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,26314,192,2.79 [2.04-3.81],1.0413898568173418e-10
EPHA2,Ephrin type-A receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,26207,344,3.31 [2.56-4.27],5.364324521047877e-20
EPHA2,Ephrin type-A receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,26207,344,3.31 [2.56-4.27],5.364324521047877e-20
EPHA2,Ephrin type-A receptor 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),25035,346,4.83 [3.78-6.17],1.0949289211594952e-36
EPHA2,Ephrin type-A receptor 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,26843,75,4.11 [2.68-6.32],1.1109385351258648e-10
EPHA2,Ephrin type-A receptor 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27055,101,3.55 [2.45-5.16],2.7223416423774e-11
