Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22486,178,3.07 [2.13-4.43],1.686281707983068e-09
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23512,193,2.19 [1.50-3.19],5.137969982571883e-05
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23262,1398,2.02 [1.75-2.33],2.731796013403144e-21
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Candidiasis,23523,380,1.99 [1.52-2.62],6.585709251222609e-07
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22837,3446,1.69 [1.53-1.86],6.454365577015648e-27
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22796,3451,2.07 [1.88-2.27],1.949228545382817e-53
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,23311,1038,1.75 [1.48-2.08],7.667825105398764e-11
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23446,82,4.41 [2.70-7.20],3.3337988715596502e-09
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21328,1110,2.35 [2.00-2.77],1.4190452618695227e-24
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20581,1230,3.06 [2.64-3.55],1.4072388125953944e-49
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,20299,250,3.19 [2.31-4.39],1.3374204412085912e-12
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16538,2241,2.23 [1.99-2.51],2.0004801315090664e-41
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20229,402,2.79 [2.15-3.63],1.803312401987288e-14
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23515,1242,1.71 [1.47-2.00],1.010056383684836e-11
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Mycoses,23612,469,1.93 [1.51-2.47],1.4845933724264926e-07
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22748,884,2.37 [1.99-2.84],2.5893332119859135e-21
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23535,1227,2.13 [1.83-2.48],1.1221844058583218e-22
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22468,195,2.13 [1.46-3.12],9.520845004615329e-05
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23377,1069,2.05 [1.74-2.42],9.166371042632713e-18
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23589,121,2.04 [1.26-3.30],0.0036235425043924
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23568,100,2.15 [1.27-3.64],0.0042501207282621
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22354,490,2.29 [1.80-2.91],1.2321983251329407e-11
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,22150,286,1.61 [1.15-2.25],0.0057172376945261
CLEC5A,C-type lectin domain family 5 member A,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,22360,87,2.37 [1.37-4.12],0.0020905677518509
