Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
NCAN,Neurocan core protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33927,1595,0.74 [0.66-0.84],1.3855670709861226e-06
NCAN,Neurocan core protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,46135,1600,0.75 [0.67-0.84],1.7285267915520852e-06
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,48104,1115,0.29 [0.25-0.33],1.58661354192053e-67
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,48068,1079,0.29 [0.25-0.34],2.012103480828761e-65
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,Any mental disorder,43929,1316,0.66 [0.58-0.75],2.3442246707563937e-10
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",42723,110,0.28 [0.18-0.42],1.6556972121103511e-09
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Neurological diseases,44400,2974,0.77 [0.71-0.85],1.0918097617442908e-08
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Epilepsy,48561,307,0.53 [0.41-0.69],1.8588695114705475e-06
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Hemiplegia,51274,114,0.37 [0.25-0.56],1.6233086235440158e-06
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Other neurological diseases,50933,248,0.43 [0.32-0.57],3.949812603391911e-09
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,36774,6622,0.82 [0.77-0.88],5.1608348855403743e-08
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38705,4562,0.79 [0.73-0.85],4.846084543116537e-09
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Hypertension,38772,4629,0.80 [0.74-0.86],2.28367294002534e-08
NCAN,Neurocan core protein,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,41399,4158,0.82 [0.76-0.89],6.32260405677757e-07
NCAN,Neurocan core protein,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,46379,2038,0.78 [0.70-0.87],3.889809064738327e-06
NCAN,Neurocan core protein,Chapter X Diseases of the respiratory system,Asthma,37051,1679,0.77 [0.68-0.86],8.660533664795614e-06
NCAN,Neurocan core protein,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",36509,1679,0.77 [0.68-0.86],9.049332348255942e-06
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,37403,8066,0.87 [0.82-0.92],3.885569102392053e-06
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,40645,4686,0.82 [0.76-0.88],7.724508520361407e-08
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,38283,2324,0.73 [0.66-0.81],2.369849809504944e-09
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",43478,2324,0.74 [0.67-0.82],5.485706971417477e-09
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,36525,566,0.61 [0.51-0.75],8.303614865701438e-07
NCAN,Neurocan core protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,37030,1071,0.72 [0.62-0.83],6.285462555637238e-06
