Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",21065,1767,1.07 [1.02-1.12],0.0105863898454145
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACE2,Angiotensin-converting enzyme 2,21180,1766,1.22 [1.13-1.32],7.482140741686382e-07
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACP5,Tartrate-resistant acid phosphatase type 5,21691,1818,1.16 [1.02-1.32],0.0278886801002223
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACTA2,"Actin, aortic smooth muscle",21180,1766,1.19 [1.09-1.30],8.404507159828936e-05
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACVRL1,Serine/threonine-protein kinase receptor R3,21398,1792,1.73 [1.46-2.04],2.6662663941764584e-10
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,18245,1502,1.11 [1.02-1.21],0.0201516603354505
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADA2,Adenosine deaminase 2,21428,1796,1.34 [1.21-1.47],4.333858846648731e-09
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18313,1503,1.31 [1.16-1.47],1.2813477672292733e-05
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,21731,1811,1.21 [1.04-1.40],0.0117343094474326
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,18746,1536,1.61 [1.38-1.88],2.3539516818584364e-09
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,21852,1831,0.72 [0.60-0.85],0.0001867855974858
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,21478,1791,1.10 [1.00-1.21],0.0449786792827738
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,21180,1766,1.14 [1.01-1.29],0.0395605239835145
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,21654,1812,0.75 [0.69-0.82],6.154239223338956e-10
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTSL2,ADAMTS-like protein 2,18837,1546,1.22 [1.05-1.42],0.0097027397752188
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADAMTSL5,ADAMTS-like protein 5,18833,1542,0.84 [0.74-0.96],0.0079083284367101
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADGRE1,Adhesion G protein-coupled receptor E1,18746,1536,1.16 [1.06-1.26],0.0010061203425804
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADGRG1,Adhesion G-protein coupled receptor G1,21478,1791,1.15 [1.07-1.22],2.798578869455166e-05
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADGRG2,Adhesion G-protein coupled receptor G2,21586,1816,0.67 [0.57-0.78],2.489658454961761e-07
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ADM,Pro-adrenomedullin,21771,1820,1.77 [1.51-2.07],2.936912711620978e-12
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AFAP1,Actin filament-associated protein 1,18427,1512,0.93 [0.87-0.98],0.0115256571316643
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AFM,Afamin,18878,1543,0.65 [0.50-0.84],0.0009367366755712
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AFP,Alpha-fetoprotein,21367,1790,0.93 [0.87-0.99],0.0150355550668035
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AGR2,Anterior gradient protein 2 homolog,20872,1747,1.17 [1.12-1.22],3.54180866252045e-14
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AGRN,Agrin,21669,1818,1.48 [1.31-1.67],2.0155837097239548e-10
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ALCAM,CD166 antigen,21852,1831,1.32 [1.07-1.63],0.0107174822082803
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ALPP,"Alkaline phosphatase, placental type",21478,1791,1.07 [1.03-1.11],0.0007351926730301
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AMBP,Protein AMBP,21741,1818,2.07 [1.68-2.55],7.980333237002273e-12
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AMOTL2,Angiomotin-like protein 2,18664,1531,1.14 [1.04-1.26],0.0053879515017473
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,AMY2B,Alpha-amylase 2B,20119,1689,0.89 [0.81-0.97],0.0105444439406687
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANG,Angiogenin,21502,1801,1.13 [1.00-1.27],0.043941339258182
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANGPT2,Angiopoietin-2,21771,1820,1.28 [1.15-1.43],5.686472471925235e-06
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANGPTL1,Angiopoietin-related protein 1,21299,1789,1.16 [1.00-1.33],0.0479498310669708
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANGPTL4,Angiopoietin-related protein 4,21632,1814,1.11 [1.02-1.22],0.021933967044674
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANXA10,Annexin A10,21053,1761,1.12 [1.07-1.18],1.948161791237136e-06
Chapter XI Diseases of the digestive system,Other functional intestinal disorders,ANXA2,Annexin A2,18080,1497,1.08 [1.01-1.15],0.0295228806396662
