Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
GH1,Somatotropin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,20248,818,1.06 [1.02-1.09],0.0019324422693391
GH1,Somatotropin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19635,240,1.12 [1.05-1.19],0.0005549305047706
GH1,Somatotropin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15146,812,1.08 [1.04-1.12],5.995178252019746e-05
GH1,Somatotropin,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22056,148,1.12 [1.03-1.21],0.005474942301674
GH1,Somatotropin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20926,555,1.13 [1.08-1.17],1.2196521113646891e-08
GH1,Somatotropin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22481,123,1.13 [1.04-1.23],0.0047110493808671
GH1,Somatotropin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22114,255,1.11 [1.05-1.18],0.0006469042415724
GH1,Somatotropin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22114,255,1.11 [1.05-1.18],0.0006469042415724
GH1,Somatotropin,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19895,509,1.07 [1.03-1.12],0.0020641321140846
GH1,Somatotropin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,23154,39,1.29 [1.12-1.49],0.000404943927847
GH1,Somatotropin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20905,151,1.21 [1.12-1.31],1.1223748579911296e-06
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Peripheral artery disease,22315,166,1.11 [1.03-1.20],0.006764987391633
GH1,Somatotropin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,20889,135,1.20 [1.11-1.30],1.0736724524789363e-05
GH1,Somatotropin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,21455,701,1.10 [1.06-1.15],3.209342404834738e-06
GH1,Somatotropin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,21429,675,1.10 [1.05-1.14],6.82915723534816e-06
GH1,Somatotropin,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,17118,48,1.27 [1.11-1.44],0.0003888360680731
GH1,Somatotropin,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",19737,335,1.10 [1.04-1.16],0.0008987467607495
GH1,Somatotropin,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",23114,257,1.12 [1.06-1.19],0.0001928842687862
GH1,Somatotropin,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",23205,199,1.14 [1.07-1.22],0.0001460303328084
GH1,Somatotropin,Chapter VI Diseases of the nervous system,Neurological diseases,20041,1314,1.05 [1.02-1.08],0.0005549429994608
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Transient ischemic attack,22713,99,1.14 [1.04-1.25],0.0072420181685542
GH1,Somatotropin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,22717,253,1.13 [1.06-1.20],8.10112867015093e-05
GH1,Somatotropin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,23281,71,1.23 [1.10-1.38],0.0003669235909352
GH1,Somatotropin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2595,71,1.23 [1.10-1.38],0.0003782367249485
GH1,Somatotropin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20757,71,1.24 [1.11-1.39],0.0002130384607408
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15979,3761,1.07 [1.05-1.09],1.1297405992363724e-10
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,"Hypertension, essential",16866,2460,1.07 [1.04-1.09],3.9975846241270463e-08
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Hypertension,16912,2506,1.07 [1.05-1.10],1.4493482812529728e-08
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14518,112,1.24 [1.13-1.36],2.601018884254931e-06
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20972,1673,1.04 [1.01-1.07],0.0045244816359211
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",19802,503,1.07 [1.02-1.12],0.0029768572407707
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,20704,1428,1.04 [1.01-1.07],0.0075866586066563
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,12161,604,1.12 [1.08-1.17],1.424901312562392e-07
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,"Heart failure, strict",22377,312,1.08 [1.03-1.15],0.0045885399814745
GH1,Somatotropin,Chapter IX Diseases of the circulatory system,Varicose veins,22537,340,1.10 [1.04-1.16],0.0003341284396369
GH1,Somatotropin,Chapter X Diseases of the respiratory system,Other diseases of pleura,21513,283,1.09 [1.03-1.16],0.0026774700395729
GH1,Somatotropin,Chapter XI Diseases of the digestive system,Diseases of liver,22839,141,1.14 [1.05-1.23],0.0015399504535703
GH1,Somatotropin,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,20545,1491,1.04 [1.01-1.07],0.0053366127808669
GH1,Somatotropin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,17462,3537,1.03 [1.01-1.05],0.009125136158407
GH1,Somatotropin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,16948,84,1.15 [1.03-1.27],0.0096538650999023
GH1,Somatotropin,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,18159,2366,1.05 [1.02-1.07],3.5141761416600886e-05
GH1,Somatotropin,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,20931,92,1.17 [1.06-1.29],0.0021773221772959
