Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
NCAN,Neurocan core protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33927,1595,0.74 [0.66-0.84],1.3855670709861226e-06
NCAN,Neurocan core protein,Chapter I Certain infectious and parasitic diseases,Mycoses,50957,105,0.54 [0.35-0.83],0.0051994294834848
NCAN,Neurocan core protein,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",23433,680,1.44 [1.19-1.73],0.0001291917676211
NCAN,Neurocan core protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,46135,1600,0.75 [0.67-0.84],1.7285267915520852e-06
NCAN,Neurocan core protein,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",51829,226,0.65 [0.48-0.87],0.0046022608464389
NCAN,Neurocan core protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,49307,396,0.60 [0.48-0.76],1.7566018875543267e-05
NCAN,Neurocan core protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,48650,708,0.76 [0.64-0.91],0.0026999397323978
NCAN,Neurocan core protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,48650,708,0.76 [0.64-0.91],0.0026999397323978
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,47262,273,0.58 [0.44-0.77],0.0001533579343821
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Peripheral artery disease,49546,226,0.56 [0.41-0.75],9.038720862248904e-05
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,47235,246,0.59 [0.44-0.79],0.0004005738309687
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,48104,1115,0.29 [0.25-0.33],1.58661354192053e-67
NCAN,Neurocan core protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,48068,1079,0.29 [0.25-0.34],2.012103480828761e-65
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,Any mental disorder,43929,1316,0.66 [0.58-0.75],2.3442246707563937e-10
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",43074,461,0.62 [0.49-0.76],1.2131640754277058e-05
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,Alcohol dependence,48378,141,0.53 [0.36-0.77],0.0009418017205399
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,Smoking dependency,48265,119,0.41 [0.27-0.61],1.284134981613214e-05
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",42723,110,0.28 [0.18-0.42],1.6556972121103511e-09
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",43265,652,0.71 [0.59-0.85],0.0001757368425179
NCAN,Neurocan core protein,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",42870,257,0.67 [0.51-0.90],0.0073803931078038
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Neurological diseases,44400,2974,0.77 [0.71-0.85],1.0918097617442908e-08
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,49223,969,0.72 [0.62-0.84],2.108859310469636e-05
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Epilepsy,48561,307,0.53 [0.41-0.69],1.8588695114705475e-06
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,51325,165,0.48 [0.34-0.67],2.6523904607553365e-05
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Hemiplegia,51274,114,0.37 [0.25-0.56],1.6233086235440158e-06
NCAN,Neurocan core protein,Chapter VI Diseases of the nervous system,Other neurological diseases,50933,248,0.43 [0.32-0.57],3.949812603391911e-09
NCAN,Neurocan core protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,49901,441,0.63 [0.51-0.78],3.422761358613284e-05
NCAN,Neurocan core protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,51261,106,0.47 [0.31-0.72],0.0004942626477332
NCAN,Neurocan core protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",46947,106,0.39 [0.25-0.61],2.572565370150869e-05
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,36774,6622,0.82 [0.77-0.88],5.1608348855403743e-08
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38705,4562,0.79 [0.73-0.85],4.846084543116537e-09
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Hypertension,38772,4629,0.80 [0.74-0.86],2.28367294002534e-08
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,34303,160,1.88 [1.29-2.75],0.0010780389833338
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",34318,175,0.62 [0.44-0.88],0.0075268326131333
NCAN,Neurocan core protein,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,29305,887,0.79 [0.67-0.94],0.0062799537523534
