Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16140,755,1.41 [1.22-1.62],2.002187856120021e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,15533,230,1.80 [1.41-2.29],2.0455585247275253e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11339,847,1.47 [1.28-1.69],5.97326103740674e-08
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",18180,359,1.69 [1.39-2.05],1.7443999395340278e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,17938,117,2.11 [1.52-2.94],8.976701412137307e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18079,258,1.51 [1.19-1.90],0.000595633703548
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16710,602,1.32 [1.13-1.55],0.0005332416965999
SCPEP1,Retinoid-inducible serine carboxypeptidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,14214,1297,1.38 [1.23-1.55],1.97787268502553e-08
SCPEP1,Retinoid-inducible serine carboxypeptidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,17718,629,1.74 [1.49-2.04],3.529624229693177e-12
SCPEP1,Retinoid-inducible serine carboxypeptidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,17699,610,1.73 [1.47-2.02],1.6466102327111647e-11
SCPEP1,Retinoid-inducible serine carboxypeptidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,14065,1148,1.38 [1.23-1.56],8.683803997314642e-08
SCPEP1,Retinoid-inducible serine carboxypeptidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,13980,1063,1.39 [1.23-1.57],1.5238640414259226e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",15807,134,2.12 [1.55-2.90],2.5927275504386622e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",19302,69,2.10 [1.37-3.22],0.0006934873067062
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter V Mental and behavioural disorders,Smoking dependency,18227,44,2.93 [1.78-4.82],2.3697271426603988e-05
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter VI Diseases of the nervous system,Neurological diseases,16132,1237,1.29 [1.16-1.45],7.93468635177612e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,12053,3711,1.27 [1.17-1.38],5.99733180378152e-09
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",12821,2574,1.34 [1.23-1.47],1.0559316742195824e-10
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Hypertension,12846,2599,1.35 [1.23-1.47],7.136357947352097e-11
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",17153,1451,1.29 [1.16-1.44],2.504049469388581e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Angina pectoris,16570,868,1.29 [1.13-1.48],0.0002221860130551
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,18413,269,1.47 [1.17-1.85],0.0008910027973474
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,18695,551,1.34 [1.14-1.58],0.0004927218282925
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,16848,1168,1.37 [1.22-1.54],1.4543277523460166e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,14485,1826,1.40 [1.28-1.55],5.043286664246095e-12
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,16916,957,1.46 [1.29-1.66],3.111012565262569e-09
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,Early onset COPD,18182,209,1.64 [1.27-2.12],0.0001357778218092
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",18224,251,1.62 [1.28-2.04],5.434203252179256e-05
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",18224,251,1.62 [1.28-2.04],5.434203252179256e-05
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",18123,719,1.34 [1.16-1.55],5.594023355969202e-05
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,Asthma,12781,719,1.46 [1.26-1.69],3.080395841294128e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",12463,719,1.47 [1.27-1.71],1.980080859343527e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",12774,712,1.47 [1.27-1.70],2.9438812240828856e-07
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,12830,3702,1.17 [1.08-1.26],7.079557669396297e-05
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,14196,2297,1.18 [1.08-1.29],0.0003366756117988
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,12045,146,1.96 [1.46-2.64],7.710093108405913e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,12372,473,1.40 [1.18-1.68],0.0001762827117725
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",19131,140,2.03 [1.51-2.73],3.328842308002576e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,19136,129,2.07 [1.52-2.82],4.013362771303229e-06
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,13255,1356,1.22 [1.09-1.36],0.0005605082743837
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",15369,1356,1.22 [1.09-1.36],0.0004323331061101
SCPEP1,Retinoid-inducible serine carboxypeptidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,18923,100,2.01 [1.41-2.86],0.0001044554942992
