Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22894,1762,1.48 [1.25-1.75],4.04502684012771e-06
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22417,4249,1.32 [1.19-1.47],5.098299845012064e-07
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22356,4330,1.48 [1.33-1.65],9.578892737970232e-13
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20329,1303,1.61 [1.32-1.97],2.3166277530005063e-06
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19617,1589,1.71 [1.43-2.05],3.242166660189345e-09
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,19114,345,2.38 [1.63-3.48],8.297265182046944e-06
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15069,2764,1.40 [1.23-1.61],9.11562149380602e-07
GAS6,Growth arrest-specific protein 6,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23202,1436,1.61 [1.33-1.93],6.384970124413938e-07
GAS6,Growth arrest-specific protein 6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,20993,165,5.37 [3.15-9.15],6.127902644730005e-10
GAS6,Growth arrest-specific protein 6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22559,3523,1.47 [1.31-1.66],2.345434728139469e-10
GAS6,Growth arrest-specific protein 6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22816,1988,1.58 [1.35-1.85],1.5561719701045893e-08
GAS6,Growth arrest-specific protein 6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22815,1987,1.58 [1.35-1.85],1.4467692028514896e-08
GAS6,Growth arrest-specific protein 6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22967,1439,1.69 [1.41-2.04],2.304177296157912e-08
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,15601,421,2.24 [1.58-3.16],5.110310833047235e-06
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,15572,392,2.30 [1.61-3.29],4.497704676214004e-06
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,15611,431,2.67 [1.90-3.75],1.467628784909448e-08
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,16080,900,2.17 [1.71-2.75],1.3350690171858222e-10
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",17437,2257,1.71 [1.47-1.98],2.162791351003179e-12
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,23319,319,4.01 [2.73-5.87],1.0860377928571628e-12
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,2466,77,9.98 [4.84-20.61],4.95265608355583e-10
GAS6,Growth arrest-specific protein 6,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,16308,1128,1.68 [1.36-2.08],1.3471811607794603e-06
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,11790,2871,1.55 [1.36-1.78],1.16282844836464e-10
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Cardiac arrest,9188,269,2.79 [1.80-4.31],3.912566084255827e-06
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,18707,8976,1.24 [1.15-1.33],4.201853830948456e-08
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,"Heart failure, strict",23037,1684,1.71 [1.44-2.03],1.0970313995277943e-09
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Hypertension,19957,7991,1.21 [1.12-1.31],1.8084179788927995e-06
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,"Hypertension, essential",19976,8010,1.21 [1.12-1.31],2.0292715922627954e-06
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,"Hypertension, portal",23160,99,18.49 [9.55-35.81],5.028154155519637e-18
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,12180,214,10.01 [6.38-15.72],1.3782297252615874e-23
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Hypotension,23150,1660,1.53 [1.28-1.82],1.7973804573171176e-06
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Oesophageal varices,21474,69,13.87 [6.29-30.62],7.454461851367501e-11
GAS6,Growth arrest-specific protein 6,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,21553,63,9.82 [4.24-22.77],9.947004865844174e-08
