Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",49497,2686,1.20 [1.11-1.30],2.180170065004748e-06
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Candidiasis,50062,830,1.19 [1.04-1.37],0.0111571277453752
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,48538,6825,1.11 [1.06-1.17],1.969527675458468e-05
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),48743,6260,1.18 [1.12-1.24],3.2811892484190807e-10
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,49577,2382,1.16 [1.07-1.26],0.0004177511867739
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,49887,169,1.47 [1.14-1.89],0.0026700874091807
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,46045,1887,1.27 [1.16-1.39],8.76605554078411e-08
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,44512,2155,1.30 [1.20-1.41],3.395233870591865e-10
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,44238,496,1.33 [1.13-1.56],0.0006310745455806
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,35195,3875,1.18 [1.11-1.26],2.291410779891878e-07
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,43953,759,1.38 [1.21-1.56],1.0159714026117362e-06
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,49990,2795,1.16 [1.07-1.25],0.0001228392534826
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Mycoses,50209,977,1.19 [1.05-1.35],0.0060108582857454
ATP6AP2,Renin receptor,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48616,1805,1.29 [1.18-1.41],8.744060094103982e-09
