Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",42841,239,1.32 [1.13-1.55],0.0005778624195937
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",44323,336,1.36 [1.20-1.55],2.693686543656144e-06
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",43873,2321,1.26 [1.19-1.33],1.3143407354424393e-17
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Candidiasis,44361,722,1.42 [1.30-1.55],7.10096610053596e-16
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,43014,5935,1.21 [1.17-1.25],1.8187269742243908e-29
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),43204,5390,1.21 [1.17-1.26],9.327873470422506e-28
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,43929,2051,1.22 [1.16-1.29],2.6651081196482067e-12
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,44202,148,1.61 [1.36-1.91],2.992946738399045e-08
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,40889,1610,1.33 [1.26-1.42],2.5875364133066268e-20
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,39457,1791,1.40 [1.32-1.48],6.622001715925162e-31
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,39327,423,1.55 [1.39-1.72],2.9550706362877235e-15
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,31149,3325,1.27 [1.22-1.33],1.0745038622309131e-26
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,39077,650,1.47 [1.34-1.61],1.2912058662791576e-16
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,44291,2413,1.24 [1.18-1.31],1.289844329880775e-16
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Mycoses,44490,851,1.42 [1.31-1.53],3.2047015668186792e-18
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,43107,1555,1.30 [1.22-1.38],5.91753799430448e-16
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,44379,1777,1.31 [1.23-1.38],1.6551988107793066e-19
IL22,Interleukin-22,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,42216,338,1.38 [1.21-1.57],8.998308212256891e-07
