Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
TJAP1,Tight junction-associated protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,22021,173,0.78 [0.65-0.94],0.0090932853655891
TJAP1,Tight junction-associated protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",22021,172,0.78 [0.65-0.94],0.0081943695570958
TJAP1,Tight junction-associated protein 1,Chapter VI Diseases of the nervous system,Epilepsy,22060,166,0.80 [0.68-0.95],0.0107805886006477
TJAP1,Tight junction-associated protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,22806,254,1.15 [1.01-1.32],0.0382719403082712
TJAP1,Tight junction-associated protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,23371,71,1.30 [1.01-1.67],0.0397582788315996
TJAP1,Tight junction-associated protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20848,71,1.31 [1.02-1.69],0.0376809418317863
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,16039,3759,0.90 [0.86-0.94],5.455986959578967e-06
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",21053,1674,0.88 [0.83-0.93],1.701481768195633e-05
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Angina pectoris,20311,932,0.85 [0.79-0.92],2.72115743397143e-05
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",19883,504,0.88 [0.80-0.98],0.0140581467310219
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,20786,1431,0.89 [0.84-0.95],0.0002571043629872
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Conduction disorders,18683,169,0.76 [0.64-0.90],0.0014364939873769
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,11748,135,0.80 [0.66-0.97],0.0241517664881494
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,12217,604,0.77 [0.70-0.85],7.254396416807842e-08
TJAP1,Tight junction-associated protein 1,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,18640,126,0.68 [0.56-0.83],0.0001470911844287
TJAP1,Tight junction-associated protein 1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,23349,94,0.80 [0.63-1.00],0.048201725396193
TJAP1,Tight junction-associated protein 1,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,18520,649,0.92 [0.84-1.00],0.0432620407663331
TJAP1,Tight junction-associated protein 1,Chapter XI Diseases of the digestive system,Chronic gastritis,17982,111,0.76 [0.62-0.93],0.0084713957691006
TJAP1,Tight junction-associated protein 1,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,18031,160,0.82 [0.69-0.98],0.0286163532375264
TJAP1,Tight junction-associated protein 1,Chapter XI Diseases of the digestive system,Ventral hernia,18300,96,0.79 [0.63-0.99],0.0402158887808353
TJAP1,Tight junction-associated protein 1,Chapter XI Diseases of the digestive system,Diseases of liver,22929,141,0.75 [0.63-0.91],0.0026061148164443
TJAP1,Tight junction-associated protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,17024,88,1.27 [1.01-1.59],0.0398282156428911
TJAP1,Tight junction-associated protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",23506,85,1.26 [1.00-1.58],0.0477407169349763
TJAP1,Tight junction-associated protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,23511,75,1.42 [1.12-1.81],0.0043272617658852
TJAP1,Tight junction-associated protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,17103,167,0.79 [0.67-0.94],0.0085520654372909
TJAP1,Tight junction-associated protein 1,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,20747,93,0.78 [0.63-0.98],0.0362242731093686
