Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ARHGEF5,Rho guanine nucleotide exchange factor 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,33590,447,1.38 [1.25-1.52],3.0670671489810336e-10
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,28727,162,1.64 [1.43-1.88],2.057537105768241e-12
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,41106,488,1.36 [1.24-1.49],2.0423572154055128e-10
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter X Diseases of the respiratory system,Interstitial lung disease,41163,545,1.34 [1.23-1.47],1.6760009686228158e-10
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,43182,674,1.33 [1.22-1.44],1.1765042324568958e-11
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XI Diseases of the digestive system,Coeliac disease,40658,199,1.53 [1.35-1.73],3.4100005119000995e-11
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XI Diseases of the digestive system,Intestinal malabsorption,40697,238,1.49 [1.32-1.67],6.379606690816375e-11
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XIV Diseases of the genitourinary system,Acute renal failure,41784,2491,1.20 [1.15-1.26],1.0800686475961112e-14
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,41556,2263,1.30 [1.24-1.36],2.1618763115364085e-29
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,43008,104,1.68 [1.43-1.98],4.446655435596847e-10
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XIV Diseases of the genitourinary system,Dialysis,39403,110,1.87 [1.64-2.15],1.2479644145615738e-19
ARHGEF5,Rho guanine nucleotide exchange factor 5,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,42984,4204,1.20 [1.16-1.24],4.570181550045848e-23
