Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",22023,195,2.52 [1.93-3.28],8.481715397402232e-12
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23244,251,2.09 [1.65-2.64],8.46103731432906e-10
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22968,1772,1.98 [1.80-2.17],1.256889984251396e-46
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Candidiasis,23252,552,1.91 [1.62-2.26],3.2828271504143744e-14
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22489,4262,1.77 [1.66-1.88],6.5629787163123e-69
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22430,4336,1.96 [1.84-2.08],1.1712914316255491e-99
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22957,1436,1.94 [1.75-2.15],1.2652822639303554e-35
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,23155,131,2.57 [1.88-3.50],2.354437602471529e-09
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20415,1313,2.60 [2.33-2.89],9.01185782135342e-68
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19693,1597,2.94 [2.68-3.23],2.4213822090830772e-116
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,19189,343,3.48 [2.84-4.25],4.145263966833609e-34
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15129,2768,2.01 [1.86-2.16],2.079069716091805e-73
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,19129,501,3.29 [2.79-3.89],9.814438060007201e-45
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23228,1707,1.92 [1.74-2.11],7.39615295203003e-41
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Mycoses,23348,648,1.93 [1.66-2.25],3.501985540352236e-17
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22451,1255,2.11 [1.89-2.35],1.2074414670547618e-41
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23276,1448,2.23 [2.02-2.47],5.235782151205401e-57
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21772,251,2.21 [1.74-2.80],6.300575986424412e-11
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23094,1266,2.23 [2.00-2.48],2.430069337586244e-49
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23341,141,2.01 [1.46-2.75],1.657860099776967e-05
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23319,119,1.87 [1.31-2.66],0.0005533500849527
TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21703,507,2.75 [2.35-3.22],1.7277664184731825e-36
