Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,37990,1554,1.44 [1.27-1.62],5.5446776534265965e-09
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,37372,363,2.27 [1.79-2.86],6.912902816385565e-12
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,28618,1303,1.81 [1.58-2.07],2.557964056418838e-18
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,38996,1317,1.74 [1.52-1.98],1.2805463236020222e-16
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,41632,330,1.97 [1.54-2.52],6.270798385991671e-08
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,30926,5450,1.30 [1.20-1.40],2.2384288540306358e-11
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,"Hypertension, essential",32630,3743,1.26 [1.16-1.38],9.648953490385942e-08
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,Hypertension,32672,3785,1.29 [1.19-1.41],3.639913906843756e-09
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,28983,96,7.41 [5.27-10.42],1.2126568780481348e-30
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,24763,745,2.11 [1.77-2.52],1.1118867878238538e-16
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter IX Diseases of the circulatory system,"Heart failure, strict",41985,350,2.57 [2.06-3.21],6.299237608200965e-17
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,34948,3531,1.33 [1.22-1.44],5.008594394316288e-11
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XI Diseases of the digestive system,Diseases of the digestive system,41436,521,1.83 [1.51-2.23],1.3082901093072064e-09
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,42804,243,2.32 [1.75-3.08],4.445339870392332e-09
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,39549,378,4.65 [3.78-5.72],5.849362225893719e-48
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XIV Diseases of the genitourinary system,Acute renal failure,39769,77,7.75 [5.17-11.62],3.8304437363386354e-23
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,39793,101,7.30 [5.20-10.25],1.899577352968959e-30
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,43054,113,3.54 [2.53-4.95],1.911368626562348e-13
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,23690,987,1.89 [1.57-2.29],3.745626982513883e-11
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,"Chapter XV Pregnancy, childbirth and the puerperium",Labour and delivery complicated by fetal stress [distress],23068,365,2.26 [1.70-3.00],1.9871928730779576e-08
TNFRSF17,Tumor necrosis factor receptor superfamily member 17,"Chapter XV Pregnancy, childbirth and the puerperium",Perineal laceration during delivery,23251,548,1.98 [1.55-2.53],4.091668132965703e-08
