Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18690,890,1.09 [1.05-1.13],1.8412227676689248e-05
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17952,287,1.15 [1.07-1.23],8.020557663299596e-05
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13147,1076,1.12 [1.08-1.16],3.278706861790404e-09
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18736,95,1.24 [1.11-1.40],0.000215643271988
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,21462,131,1.15 [1.04-1.26],0.0070873962545357
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21417,86,1.22 [1.08-1.37],0.0015335052059876
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Mycoses,22247,59,1.31 [1.13-1.51],0.0003324624339529
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21131,426,1.10 [1.04-1.16],0.0013786846100922
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19414,763,1.08 [1.04-1.13],0.0001568024875219
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,20765,357,1.09 [1.03-1.16],0.0035396662804645
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,20765,357,1.09 [1.03-1.16],0.0035396662804645
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18221,564,1.13 [1.08-1.19],8.75364158527121e-07
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,22244,59,1.21 [1.05-1.40],0.0096798663977329
DEFB4A_DEFB4B,Beta-defensin 4A,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16500,1629,1.08 [1.05-1.11],4.159136040610954e-07
DEFB4A_DEFB4B,Beta-defensin 4A,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,21137,635,0.94 [0.89-0.98],0.0052527881668107
DEFB4A_DEFB4B,Beta-defensin 4A,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21261,167,1.15 [1.06-1.26],0.0012582953646859
DEFB4A_DEFB4B,Beta-defensin 4A,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,20689,775,1.10 [1.06-1.15],6.36028774829477e-06
DEFB4A_DEFB4B,Beta-defensin 4A,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,20662,748,1.09 [1.05-1.14],7.100271885654979e-05
