Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
GLB1,Beta-galactosidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,26211,137,2.12 [1.56-2.89],1.702049130350854e-06
GLB1,Beta-galactosidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,26419,2421,1.25 [1.15-1.35],1.3181346411202228e-07
GLB1,Beta-galactosidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,27454,3456,1.21 [1.13-1.30],4.163075672355839e-08
GLB1,Beta-galactosidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,26326,120,2.16 [1.55-3.03],6.7506119738911095e-06
GLB1,Beta-galactosidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,27722,1516,1.75 [1.59-1.94],1.1849569172968567e-28
GLB1,Beta-galactosidase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,26188,6122,1.17 [1.11-1.23],9.737630548380592e-09
GLB1,Beta-galactosidase,Chapter IX Diseases of the circulatory system,Hypertension,26776,4991,1.21 [1.14-1.28],1.4500632685215646e-10
GLB1,Beta-galactosidase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",26791,5006,1.21 [1.14-1.28],1.9286218346352068e-10
GLB1,Beta-galactosidase,Chapter IX Diseases of the circulatory system,"Hypertension, portal",27976,58,2.88 [1.83-4.53],4.624600503740548e-06
GLB1,Beta-galactosidase,Chapter IX Diseases of the circulatory system,Oesophageal varices,26821,41,3.03 [1.77-5.21],5.813166027082022e-05
GLB1,Beta-galactosidase,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27985,376,1.71 [1.41-2.08],7.248440689018204e-08
GLB1,Beta-galactosidase,Chapter V Mental and behavioural disorders,Any mental disorder,27383,3710,1.15 [1.07-1.22],8.336150941257783e-05
GLB1,Beta-galactosidase,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27920,446,1.68 [1.40-2.01],1.7396526660448746e-08
GLB1,Beta-galactosidase,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",25451,1778,1.23 [1.12-1.35],2.748825624771125e-05
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,Alcoholic liver disease,27354,82,2.38 [1.59-3.55],2.343634936874809e-05
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",27999,81,2.58 [1.74-3.85],2.9125715955113604e-06
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,Diseases of liver,28023,751,1.54 [1.33-1.77],4.310951424024366e-09
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",27654,624,1.40 [1.19-1.64],3.696300280097209e-05
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,27375,103,2.36 [1.64-3.39],3.2660165153927184e-06
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,28121,391,1.79 [1.47-2.17],4.3647024545388045e-09
GLB1,Beta-galactosidase,Chapter XI Diseases of the digestive system,Other diseases of liver,27878,606,1.53 [1.30-1.79],1.9718526476906984e-07
GLB1,Beta-galactosidase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibromyalgia,24867,283,1.61 [1.27-2.04],8.422042335378511e-05
