Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,26432,127,2.35 [1.66-3.35],1.8751148499772628e-06
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,26447,142,2.11 [1.54-2.90],3.560220603904681e-06
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,27981,1679,1.23 [1.11-1.37],9.139244561469592e-05
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,25435,1628,1.27 [1.14-1.41],1.1287995402045082e-05
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,26651,2449,1.25 [1.14-1.36],8.682317855203778e-07
CTSF,Cathepsin F,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,27706,3504,1.18 [1.10-1.27],9.784112736178328e-06
CTSF,Cathepsin F,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,26426,6178,1.12 [1.06-1.19],4.512549564085771e-05
CTSF,Cathepsin F,Chapter IX Diseases of the circulatory system,Hypertension,27009,5027,1.16 [1.09-1.23],1.8578842936999253e-06
CTSF,Cathepsin F,Chapter IX Diseases of the circulatory system,"Hypertension, essential",27024,5042,1.16 [1.09-1.23],2.464381353738365e-06
CTSF,Cathepsin F,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",28243,381,1.94 [1.57-2.40],1.0683108748722187e-09
CTSF,Cathepsin F,Chapter V Mental and behavioural disorders,Any mental disorder,27631,3764,1.20 [1.12-1.28],4.668062365973309e-07
CTSF,Cathepsin F,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",28178,450,1.90 [1.56-2.31],1.3364869195224582e-10
CTSF,Cathepsin F,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",25576,1709,1.27 [1.15-1.41],3.957153116568661e-06
CTSF,Cathepsin F,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",25671,1804,1.29 [1.17-1.42],4.253136862934137e-07
CTSF,Cathepsin F,Chapter VI Diseases of the nervous system,Neurological diseases,26942,3145,1.17 [1.09-1.27],4.7734152936374e-05
CTSF,Cathepsin F,Chapter XI Diseases of the digestive system,Alcoholic liver disease,27610,87,3.24 [2.16-4.86],1.3974529369927477e-08
CTSF,Cathepsin F,Chapter XI Diseases of the digestive system,Diseases of appendix,28244,200,1.92 [1.43-2.57],1.647938253443698e-05
CTSF,Cathepsin F,Chapter XI Diseases of the digestive system,Diseases of liver,28285,762,1.40 [1.20-1.63],2.349031232710769e-05
CTSF,Cathepsin F,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,25426,622,1.47 [1.24-1.75],9.354980099515974e-06
CTSF,Cathepsin F,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,27556,666,1.42 [1.20-1.68],3.6867082620825686e-05
CTSF,Cathepsin F,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,27287,2483,1.21 [1.11-1.32],1.7734619245139446e-05
