Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,44507,1811,1.89 [1.68-2.13],1.6737701282181007e-26
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,43811,438,4.29 [3.51-5.24],1.1901697651643831e-45
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33641,1583,3.32 [2.93-3.75],6.480303960690267e-81
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,45409,177,4.51 [3.35-6.08],3.0727439000460346e-23
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,44342,116,3.84 [2.64-5.60],2.0477372370999232e-12
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,49371,240,3.42 [2.64-4.41],5.321776867463242e-21
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,49288,157,3.93 [2.91-5.31],4.0590040293786776e-19
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,51218,134,2.23 [1.51-3.30],5.870482655862638e-05
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Mycoses,50507,107,2.16 [1.41-3.30],0.0004181575649946
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",48756,829,1.94 [1.65-2.29],1.0743230467234022e-15
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,48206,279,2.36 [1.81-3.07],1.945405207211344e-10
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48501,574,1.85 [1.53-2.25],5.244466258640328e-10
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",23227,673,1.70 [1.40-2.06],5.02136965980594e-08
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",41024,108,2.11 [1.35-3.28],0.000952800749225
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,45723,1590,2.50 [2.22-2.82],6.380422237224048e-51
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",48652,665,1.41 [1.17-1.70],0.0003885512168002
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter II Neoplasms,Benign neoplasm: Rectum,50826,133,2.16 [1.47-3.18],9.444473493003732e-05
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,48870,398,2.18 [1.73-2.73],2.3054768465130728e-11
