Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27108,107,2.75 [1.94-3.89],1.3003049919155917e-08
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27677,147,1.87 [1.37-2.57],9.541668964423549e-05
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27430,992,1.89 [1.68-2.14],1.835178414448689e-24
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Candidiasis,27712,302,1.89 [1.51-2.35],1.7587796808113626e-08
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,26930,2743,1.52 [1.41-1.65],8.659497909040821e-27
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27171,2064,1.81 [1.66-1.97],4.377899668277294e-40
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27500,993,1.57 [1.38-1.78],3.704508766198258e-12
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,27623,45,3.98 [2.47-6.39],1.1849299549094457e-08
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26454,638,2.20 [1.89-2.56],3.038054169458529e-24
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25578,617,2.55 [2.19-2.96],3.127998899498661e-34
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,25816,170,2.90 [2.19-3.85],1.835853484555353e-13
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20654,1200,1.75 [1.56-1.96],7.976532309734933e-22
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,25573,279,3.48 [2.83-4.29],3.753796889389458e-32
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27664,1157,1.60 [1.42-1.80],3.1207305615724704e-15
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Mycoses,27771,361,1.92 [1.57-2.34],2.117357314693684e-10
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27040,602,2.30 [1.98-2.67],2.980903959539412e-27
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27708,707,2.09 [1.81-2.41],7.342756009663617e-24
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26656,149,1.87 [1.36-2.58],0.0001231539524117
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27619,618,2.11 [1.81-2.46],1.1232836898233937e-21
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27719,172,1.90 [1.41-2.54],1.833703179199183e-05
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27703,156,1.77 [1.29-2.41],0.0003411779681242
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26763,325,2.08 [1.69-2.58],1.2097694716796643e-11
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,26682,244,1.68 [1.30-2.16],6.455245190975002e-05
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,26585,78,2.92 [1.95-4.36],1.9591651894967613e-07
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,27787,53,1.91 [1.14-3.21],0.0138483334308801
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27751,131,2.03 [1.46-2.83],2.854545124547318e-05
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Chapter I Certain infectious and parasitic diseases,Viral warts,27664,44,2.67 [1.56-4.57],0.0003611497826961
