Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",22927,246,1.71 [1.33-2.20],3.1204377313859635e-05
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22658,1752,1.64 [1.48-1.81],2.25689112505542e-21
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Candidiasis,22934,550,1.57 [1.31-1.88],8.719955980712767e-07
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22184,4218,1.56 [1.45-1.67],4.380550547814959e-35
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22131,4286,1.56 [1.46-1.67],1.0758250316930903e-38
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22644,1429,1.71 [1.54-1.90],1.2784992753045476e-23
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,22837,126,1.80 [1.32-2.45],0.0001762171728414
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20133,1300,1.85 [1.67-2.05],3.116639544051161e-32
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19427,1581,1.91 [1.75-2.09],7.488180285619667e-46
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,18925,345,1.93 [1.60-2.32],3.0352513223268653e-12
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14924,2737,1.68 [1.55-1.82],4.46118510750262e-35
CD4,T-cell surface glycoprotein CD4,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18861,498,1.98 [1.68-2.33],3.4506594072945115e-16
